,rank_2020,rank_2019,University,Country
156,=157,145,Autonomous University of Barcelona,Spain
157,=157,=146,University of Cologne,Germany
158,=157,=123,University of Mannheim,Germany
159,=157,173,University of Notre Dame,United States
160,=157,189,Shanghai Jiao Tong University,China
161,=157,151,TU Dresden,Germany
162,163,=159,University of Würzburg,Germany
163,164,120,Trinity College Dublin,Republic of Ireland
164,165,=181,University of Liverpool,United Kingdom
165,=166,201–250,Bielefeld University,Germany
166,=166,=167,University of Leicester,United Kingdom
167,=168,158,University of Aberdeen,United Kingdom
168,=168,180,University of Bologna,Italy
169,=168,=176,"Rutgers, the State University of New Jersey",United States
170,171,159,Hong Kong Polytechnic University,Hong Kong
171,172,179,University of Alabama at Birmingham,United States
172,=173,=184,Northeastern University,United States
173,=173,=163,University of Rochester,United States
174,=175,=156,University of Florida,United States
175,=175,=135,Karlsruhe Institute of Technology,Germany
176,=175,=153,Stockholm University,Sweden
177,178,=171,Texas A&M University,United States
178,=179,201–250,University of Auckland,New Zealand
179,=179,=167,"University of California, Santa Cruz",United States
180,=179,198,Korea University,South Korea
181,=179,201–250,Queensland University of Technology,Australia
182,183,175,University of Erlangen-Nuremberg,Germany
183,=184,=181,Aalto University,Finland
184,=184,=163,Technical University of Denmark,Denmark
185,=186,=167,Eindhoven University of Technology,Netherlands
186,=186,201–250,University of Gothenburg,Sweden
187,188,NR,Télécom Paris,France
188,=189,=199,Lomonosov Moscow State University,Russian Federation
189,=189,=184,University of Münster,Germany
190,=189,201–250,Tel Aviv University,Israel
191,192,=190,University of East Anglia,United Kingdom
192,193,251–300,University of Canberra,Australia
193,=194,=190,University of Duisburg-Essen,Germany
194,=194,196,University of Technology Sydney,Australia
195,=194,201–250,University of the Witwatersrand,South Africa
196,197,201–250,Yonsei University (Seoul campus),South Korea
197,=198,201–250,University of Antwerp,Belgium
198,=198,=187,Cardiff University,United Kingdom
199,=198,=181,George Washington University,United States
200,=198,=176,University of Lausanne,Switzerland
201,=198,165,University of St Andrews,United Kingdom
