,rank_2020,rank_2019,University,Country,Rank_Improved,rank_for_most_improvement
29,30,29,University of Edinburgh,United Kingdom,-1,15.0
35,36,38,King’s College London,United Kingdom,2,6.0
55,55,57,University of Manchester,United Kingdom,2,7.0
76,77,79,University of Warwick,United Kingdom,2,8.0
86,87,78,University of Bristol,United Kingdom,-9,22.0
98,99,93,University of Glasgow,United Kingdom,-6,21.0
110,110,130,Queen Mary University of London,United Kingdom,20,1.0
111,112,116,University of Birmingham,United Kingdom,4,5.0
117,117,106,University of Sheffield,United Kingdom,-11,25.0
121,122,118,University of Southampton,United Kingdom,-4,19.0
128,128,119,University of York,United Kingdom,-9,23.0
132,133,114,Durham University,United Kingdom,-19,27.0
138,139,146,Lancaster University,United Kingdom,7,4.0
147,146,161,University of Sussex,United Kingdom,15,3.0
145,146,141,University of Exeter,United Kingdom,-5,20.0
152,152,149,University of Nottingham,United Kingdom,-3,18.0
155,155,153,University of Leeds,United Kingdom,-2,16.0
164,165,181,University of Liverpool,United Kingdom,16,2.0
166,166,167,University of Leicester,United Kingdom,1,9.0
167,168,158,University of Aberdeen,United Kingdom,-10,24.0
191,192,190,University of East Anglia,United Kingdom,-2,17.0
198,198,187,Cardiff University,United Kingdom,-11,26.0
201,198,165,University of St Andrews,United Kingdom,-33,28.0
1,2,5,California Institute of Technology,United States,3,17.0
3,4,3,Stanford University,United States,-1,38.0
4,5,4,Massachusetts Institute of Technology,United States,-1,39.0
5,6,7,Princeton University,United States,1,25.0
6,7,6,Harvard University,United States,-1,40.0
7,8,8,Yale University,United States,0,30.0
8,9,10,University of Chicago,United States,1,26.0
10,11,12,University of Pennsylvania,United States,1,27.0
11,12,12,Johns Hopkins University,United States,0,31.0
12,13,15,"University of California, Berkeley",United States,2,20.0
15,16,16,Columbia University,United States,0,32.0
16,17,17,"University of California, Los Angeles",United States,0,33.0
18,19,19,Cornell University,United States,0,34.0
19,20,18,Duke University,United States,-2,43.0
20,21,20,University of Michigan-Ann Arbor,United States,-1,41.0
21,22,25,Northwestern University,United States,3,18.0
25,26,28,University of Washington,United States,2,21.0
26,27,24,Carnegie Mellon University,United States,-3,45.0
28,29,27,New York University,United States,-2,44.0
30,31,30,"University of California, San Diego",United States,-1,42.0
39,38,39,University of Texas at Austin,United States,1,28.0
38,38,34,Georgia Institute of Technology,United States,-4,47.0
47,48,50,University of Illinois at Urbana-Champaign,United States,2,22.0
50,51,43,University of Wisconsin-Madison,United States,-8,50.0
51,52,54,Washington University in St Louis,United States,2,23.0
52,53,53,Brown University,United States,0,35.0
53,54,56,University of North Carolina at Chapel Hill,United States,2,24.0
54,55,59,"University of California, Davis",United States,4,14.0
56,57,52,"University of California, Santa Barbara",United States,-5,48.0
60,61,74,Boston University,United States,13,3.0
62,62,66,University of Southern California,United States,4,15.0
69,70,71,Ohio State University (Main campus),United States,1,29.0
77,78,81,Penn State (Main campus),United States,3,19.0
78,79,71,University of Minnesota,United States,-8,51.0
80,80,84,Emory University,United States,4,16.0
83,84,93,Michigan State University,United States,9,8.0
87,88,64,Purdue University West Lafayette,United States,-24,59.0
90,91,82,"University of Maryland, College Park",United States,-9,52.0
94,94,99,Dartmouth College,United States,5,12.0
95,96,96,"University of California, Irvine",United States,0,36.0
101,102,109,Georgetown University,United States,7,10.0
103,104,159,University of Arizona,United States,55,1.0
105,105,86,Rice University,United States,-19,57.0
106,107,107,University of Virginia (Main campus),United States,0,37.0
113,113,110,University of Pittsburgh-Pittsburgh campus,United States,-3,46.0
115,116,121,Vanderbilt University,United States,5,13.0
118,119,132,Case Western Reserve University,United States,13,4.0
123,124,114,University of Colorado Boulder,United States,-10,53.0
133,134,146,Indiana University,United States,12,6.0
139,139,152,Tufts University,United States,13,5.0
154,155,123,Arizona State University (Tempe),United States,-32,60.0
159,157,173,University of Notre Dame,United States,16,2.0
169,168,176,"Rutgers, the State University of New Jersey",United States,8,9.0
171,172,179,University of Alabama at Birmingham,United States,7,11.0
172,173,184,Northeastern University,United States,11,7.0
173,173,163,University of Rochester,United States,-10,54.0
174,175,156,University of Florida,United States,-19,58.0
177,178,171,Texas A&M University,United States,-7,49.0
179,179,167,"University of California, Santa Cruz",United States,-12,55.0
199,198,181,George Washington University,United States,-17,56.0
